p_symbol,last_close,last_volume,avg_volume,pct_change_1_day,pct_change_1_week,pct_change_1_month,pct_change_3_months,pct_change_1_year,sma_5,ema_5,sma_13,ema_13,sma_20,ema_20,sma_34,ema_34,sma_50,ema_50,sma_89,ema_89,sma_200,ema_200,bband_upper,bband_lower,bband_mid,macd,macd_signal,macd_hist,adx,dmi_plus,dmi_minus,rsi,stoch_k,stoch_d,cci,psar,true_range,atr,williams_r,trix,stochrsi_k,stochrsi_d,momentum,candle,p_date
MIDCAPIWIN,55.91,78,,-1.04,-0.43,4.54,0,0,56.04,56.03,55.68,55.56,55.14,55.02,,,,,,,,,56.9,53.39,55.14,,,,48.32,46.15,25.74,65.31,57.25,46.5,-43.35,56.5,0.59,0.48,-34.07,,0,27.98,2.43,NO PATTERN,26-08-2016
MINDACORP,115.55,14897,73417.02,-0.04,2.08,-1.83,-0.99,38.55,116.19,115.53,114.33,115.16,114.36,115.64,119.43,116.42,118.23,116.43,116.67,114.3,104.16,103.48,119.57,109.15,114.36,-0.94,-1.43,0.49,12.4,17.72,16.39,48.76,44.63,57.61,-85.66,106.71,2.4,5.63,-42.38,0.03,0,54.94,-2.15,NO PATTERN,26-08-2016
MINDAIND,1234.45,16737,32277.02,-2.87,6.83,5.58,4.68,111.29,1267.1,1243.67,1192.27,1211.38,1183.53,1197.66,1176.68,1182.78,1171.77,1167.96,1139.34,1123.1,988.33,970.21,1286.88,1080.17,1183.53,23.83,11.96,11.87,25.23,23.03,18.24,58.94,68.55,76.89,-85.81,1105.18,57.35,43.53,-32.87,0.12,0,60.18,65.2,NO PATTERN,26-08-2016
MINDTECK,77.3,5621,,-0.26,-3.68,0,0,0,78.56,78.48,81.72,82.31,,,,,,,,,,,,,,,,,,3.49,35.79,13,24.51,26.41,-66.18,84.44,2.25,4.7,-91.44,,,,,NO PATTERN,26-08-2016
MINDTREE,569.25,247382,589666.72,0.26,0.63,0.73,-14.73,-19.93,564.62,567.44,570.65,572.45,582.37,578.61,589.65,590.84,611.2,602.84,632.08,624.9,679.75,661.18,621.01,543.72,582.37,-12.37,-13.13,0.76,29.65,16.88,31.51,42.59,76.76,68.03,91.57,585.83,11.9,15.98,-70.03,-0.23,100,98.89,4.15,Engulfing Line - Bullish,26-08-2016
MINDTREE-1M,571.35,576800,904496,1.04,0.62,1.24,-14.9,-19.76,565.11,568.07,572.13,573.19,582.58,579.27,590.01,591.49,611.71,603.54,633.62,625.5,679.49,661.54,618.55,546.61,582.58,-12.27,-12.98,0.71,28.21,20.87,31.81,43.31,68.68,61.29,104.81,587.88,15.55,15.62,-68.42,-0.23,100,94.91,7,,26-08-2016
MINDTREE-2M,575,1600,241936,1.25,0.86,1.4,-8.95,-9.73,567.51,570.78,574.63,575.4,584.14,581.12,591.3,592.92,611.51,604.89,637.31,627.01,683.16,664.42,618.24,550.04,584.14,-11.62,-12.41,0.79,19.19,26.08,43.75,44.14,83.53,68.85,106.72,603.39,7.1,13.66,-62.66,-0.24,100,95.2,7.95,,26-08-2016
MIRCELECTR,10.05,119652,193164.6,-0.99,-1.95,-10.27,-15.55,-43.22,10.1,10.13,10.44,10.39,10.69,10.59,11.04,10.88,11.3,11.08,11.61,11.45,12.67,12.61,11.7,9.68,10.69,-0.38,-0.33,-0.05,24.72,11.39,21.66,31.54,18.89,17.35,-55.56,11.22,0.25,0.41,-97.3,-0.16,51.61,51.62,-1.15,NO PATTERN,26-08-2016
MIRZAINT,84.8,115210,476809.2,-0.35,-1.74,-6.97,-10.92,-34.29,85.1,85.05,85.55,85.97,87.1,86.85,89.23,88.32,89.58,89.78,94.04,93.02,104.16,102.02,92.11,82.09,87.1,-1.68,-1.63,-0.05,12.4,19.67,23.82,37.97,27.78,28.86,-40.15,87.37,1.6,2.27,-81.16,-0.18,48.72,37.97,-6.35,NO PATTERN,26-08-2016
MMFL,420.75,13403,13305.12,-0.02,-0.52,0.41,-8.04,-37.36,423.61,421.89,425.93,424.22,429.6,425.42,423.8,427.31,427.86,429.78,440.44,437.21,458.42,472.35,454.26,404.93,429.6,-2.23,-1.36,-0.87,11.66,17.56,18.14,45.93,42.66,57.32,-79.5,435.51,9.9,14.82,-73.75,-0.08,0,21.97,1.7,NO PATTERN,26-08-2016
